rank,batch,pos,stream,tok_id,beta,z,dbeta_dz,dL_dbeta,dL_dz_auto,dL_dz_analytic,rel_err
0,0,99,0,46586,1.82576e-10,-23.117,1.82576e-10,-4.48797,-8.19393e-10,-8.19393e-10,0
1,1,679,0,7293,1.57834e-09,-20.96,1.57834e-09,4.11067,6.48806e-09,6.48806e-09,0
2,0,390,0,35941,5.69961e-11,-24.2812,5.69961e-11,3.91593,2.23193e-10,2.23193e-10,0
3,0,409,0,8765,2.38182e-10,-22.8511,2.38182e-10,3.53387,8.41704e-10,8.41704e-10,0
4,1,1013,0,9180,2.27272e-10,-22.898,2.27272e-10,3.47787,7.90423e-10,7.90423e-10,0
5,0,746,0,25749,7.16877e-11,-24.0518,7.16877e-11,3.45649,2.47787e-10,2.47787e-10,0
6,1,30,0,2917,2.01101e-10,-23.0204,2.01101e-10,3.14712,6.3289e-10,6.3289e-10,0
7,1,680,0,17295,1.84188e-10,-23.1082,1.84188e-10,3.06619,5.64756e-10,5.64756e-10,0
8,0,0,0,1135,4.70749e-09,-19.8673,4.70749e-09,-2.85748,-1.34515e-08,-1.34515e-08,0
9,1,420,0,34565,1.07455e-11,-25.9497,1.07455e-11,-2.42418,-2.60491e-11,-2.60491e-11,0
10,0,116,0,27788,3.33352e-11,-24.8176,3.33352e-11,-2.39129,-7.97142e-11,-7.97142e-11,0
11,0,4,0,2224,8.42607e-10,-21.5877,8.42607e-10,2.32199,1.95653e-09,1.95653e-09,0
12,0,51,0,7597,9.95992e-10,-21.4204,9.95992e-10,-2.23729,-2.22832e-09,-2.22832e-09,0
13,0,129,0,10421,4.93028e-09,-19.821,4.93028e-09,2.19518,1.08229e-08,1.08229e-08,0
14,1,33,0,6356,4.48076e-09,-19.9166,4.48076e-09,-2.195,-9.83526e-09,-9.83526e-09,0
15,1,677,0,6518,3.35523e-10,-22.5085,3.35523e-10,2.14165,7.18572e-10,7.18572e-10,0
16,0,283,0,4965,6.7242e-09,-19.5107,6.7242e-09,-2.11896,-1.42483e-08,-1.42483e-08,0
17,1,484,0,323,1.24216e-11,-25.8047,1.24216e-11,-2.11185,-2.62327e-11,-2.62327e-11,0
18,0,925,0,43611,2.31402e-10,-22.88,2.31402e-10,2.01833,4.67045e-10,4.67045e-10,0
19,1,43,0,12635,1.76225e-12,-27.7576,1.76225e-12,2.0057,3.53454e-12,3.53454e-12,0
