site,layer,kind,home_stream,beta_mean,beta_max,beta_norm_per_token,frac_beta_gt_1p9,frac_beta_lt_0p1,write_to_resid_mean,write_to_resid_max,g_norm_mean,g_norm_max,cos_g_pertoken_offdiag_mean,cos_g_global_offdiag_mean,dLdf_norm,coherence,align_ratio,amp_vs_mean_g,identity_rel_err,dLdbeta_norm,dLdz_norm,sat_shrink,dbeta_dz_mean,z_mean,z_max,z_dynamic_mean,h_post_scale,W_post_fro,dL_dh_post_scale,dL_dW_post_fro,static_beta_mean,static_beta_max,static_beta_drift_mean,dL_dstatic_beta_absmean
L00.attn,0,attn,0,0.0872432,1.3125,0.347131,0,0.787048,109.037,431.564,0.708863,1.82463,0.284642,0.17356,0.17138,0.999497,0.985993,0.245181,0.00266135,230.85,0.301892,0.0012711,0.0640909,-9.92235,0.647062,-8.67867,0.207147,5.77677,-4.02905,4.67635,-1.24368,0.621794,-0.743682,0.0257981
L00.mlp,0,mlp,3,0.118514,0.480749,0.405379,0,0.749756,3.64457,13.0594,0.224552,0.759757,0.412158,0.274609,0.0188063,1.04913,0.876596,0.0881182,0.00252353,38.9502,0.168138,0.00820015,0.0979591,-5.75122,-1.15448,-5.13519,0.0888242,4.5967,-1.9104,1.25155,-0.616033,0.97443,-0.116033,0.0508277
L01.attn,1,attn,0,0.153089,0.745157,0.612358,0,0.75,0.101787,0.407146,0.0301306,0.0603427,0.527137,0.487746,0.00457163,0.999728,0.999727,0.152159,0.00251651,0.503389,0.00958472,0.0192961,0.105576,-12.2914,-0.521172,-11.1891,0.0818386,11.9973,-0.109497,0.0588916,-1.10224,0.730781,-0.602242,0.0014865
L01.mlp,1,mlp,2,0.270844,1.26376,0.725752,0,0.403259,0.929239,2.67277,0.0202785,0.0399758,0.723745,0.672327,0.0110538,1.39153,0.88769,0.546683,0.00234476,0.0753171,0.00558915,0.0740495,0.197016,-3.26456,0.540743,-2.67188,0.0883873,5.09622,0.0496826,0.0260974,-0.592678,0.930798,-0.0926782,0.000710511
L02.attn,2,attn,1,0.124952,0.835637,0.422384,0,0.734253,0.503726,1.80313,0.0196061,0.0417849,0.737173,0.672089,0.00524979,1.24813,0.89532,0.266925,0.00256459,0.0930653,0.00796535,0.0852306,0.102104,-7.62875,-0.332685,-6.99032,0.0888517,6.97728,-0.09375,0.052749,-0.638425,0.950518,-0.138425,0.000961125
L02.mlp,2,mlp,1,0.141184,1.26807,0.392329,0,0.489807,0.293194,1.00997,0.0188584,0.0402574,0.717194,0.659942,0.0107906,1.16898,0.901161,0.574354,0.00255666,0.0348243,0.00614594,0.177712,0.121504,-5.74651,0.551933,-5.13884,0.104251,5.77376,0.0472717,0.0490324,-0.60767,0.969902,-0.10767,0.00128594
L03.attn,3,attn,2,0.153936,0.532319,0.413511,0,0.324768,0.187238,0.579048,0.0182921,0.0401527,0.575058,0.5217,0.00602606,1.24252,0.869682,0.328325,0.0023636,0.0620333,0.00653126,0.104787,0.132268,-4.3637,-1.01446,-3.79013,0.0875921,5.5174,0.0259457,0.0190307,-0.573574,0.93057,-0.0735744,0.000295147
L03.mlp,3,mlp,0,0.166031,1.03884,0.541095,0,0.669739,0.224476,0.448491,0.0204495,0.0494808,0.569479,0.510263,0.0111718,1.1512,0.898316,0.549046,0.00261867,0.0734039,0.00822705,0.112206,0.12802,-5.38513,0.078012,-4.80472,0.103834,5.22048,0.0626526,0.0324902,-0.580402,0.930551,-0.0804015,0.000582712
L04.attn,4,attn,1,0.0633765,0.279381,0.156027,0,0.761017,0.300382,1.13049,0.0206313,0.0501466,0.532247,0.464292,0.0062338,1.05872,0.927799,0.302972,0.00254613,0.0949438,0.00980003,0.103949,0.0602645,-3.88128,-1.82264,-3.3468,0.0824735,4.62585,-0.00904083,0.0409927,-0.534481,0.936405,-0.0344809,9.09199e-05
L04.mlp,4,mlp,3,0.139196,0.774182,0.394723,0,0.554901,0.464673,1.79867,0.0188192,0.0423468,0.552021,0.475045,0.0152242,1.05819,0.931108,0.815667,0.00279454,0.0254879,0.00587374,0.231963,0.119013,-5.81675,-0.460616,-5.19713,0.104338,5.9841,0.0975418,0.0352733,-0.619623,0.935869,-0.119623,0.00103872
L05.attn,5,attn,1,0.284573,0.894732,0.802621,0,0.5,0.494905,1.53312,0.0201262,0.0460697,0.597716,0.520809,0.00748616,1.22303,0.918662,0.371446,0.00260151,0.170815,0.0155331,0.0906009,0.203527,-3.5825,-0.211978,-3.02378,0.0812939,4.7627,-0.0068512,0.0481584,-0.558716,0.9577,-0.0587156,0.000686472
L05.mlp,5,mlp,1,0.321326,1.53524,1.04887,0,0.5,0.21301,0.694962,0.0191231,0.0415801,0.625702,0.552728,0.0138371,1.12835,0.878468,0.727268,0.00274928,0.0290704,0.00598756,0.206451,0.180553,-6.11285,1.19569,-5.39707,0.121127,5.3024,-0.0223389,0.0480366,-0.715778,0.910533,-0.215778,0.00106256
L06.attn,6,attn,1,0.110329,0.567208,0.330615,0,0.56723,0.21194,0.761585,0.0166317,0.033529,0.585237,0.513409,0.0089409,1.07584,0.927308,0.53526,0.00265708,0.0368775,0.0067751,0.183237,0.0959126,-8.16737,-0.934641,-7.49659,0.0964687,7.02582,0.0794983,0.030545,-0.670772,0.977596,-0.170772,0.000750037
L06.mlp,6,mlp,1,0.262846,1.43323,0.723936,0,0.388611,0.275409,0.741179,0.0177328,0.0357985,0.627141,0.555611,0.0156102,1.27976,0.921066,0.889245,0.00245115,0.0282354,0.0061006,0.219303,0.193281,-5.09806,0.928624,-4.46299,0.144213,4.90038,-0.0353394,0.086141,-0.635064,0.980961,-0.135064,0.0013912
L07.attn,7,attn,2,0.146541,0.61953,0.369511,0,0.431854,0.379941,0.972045,0.0206925,0.0469194,0.592225,0.495934,0.0112334,1.23382,0.81586,0.542648,0.00249313,0.0496279,0.00788393,0.158226,0.128813,-3.03917,-0.801504,-2.54609,0.159746,5.92092,0.0314331,0.0703559,-0.493077,0.961376,0.00692347,0.00101993
L07.mlp,7,mlp,1,0.209393,1.18644,0.572445,0,0.449951,0.246484,0.888721,0.0221183,0.0478936,0.611165,0.506373,0.0157446,1.10177,0.858694,0.72429,0.00267747,0.0296932,0.00623735,0.214692,0.165104,-4.39193,0.382998,-3.86734,0.192036,5.19641,-0.0286713,0.0742424,-0.524594,0.994327,-0.0245945,0.000546312
L08.attn,8,attn,1,0.286871,1.2992,0.794555,0,0.271271,0.245518,0.698906,0.0193054,0.0390547,0.546998,0.429262,0.0113583,1.16105,0.827981,0.594455,0.00259056,0.0372036,0.00631181,0.172564,0.205801,-5.20733,0.618172,-4.6323,0.15637,5.67234,-0.0509644,0.0860269,-0.575034,0.971925,-0.0750336,0.0014986
L08.mlp,8,mlp,1,0.254673,1.59051,0.668329,0,0.340942,0.239842,0.845973,0.0164993,0.0276579,0.59943,0.475751,0.0159009,1.11812,0.875573,0.985502,0.00268956,0.0222797,0.00527596,0.246801,0.196908,-4.37271,1.37322,-3.83446,0.152915,5.3028,-0.00262833,0.0411547,-0.538243,0.978905,-0.0382434,0.000391359
L09.attn,9,attn,3,0.348407,1.91603,1.07125,0.00247192,0.503235,0.326594,1.16728,0.0142202,0.0275025,0.639991,0.531488,0.00762861,1.24306,0.889696,0.533731,0.00248041,0.0189654,0.00175002,0.0921185,0.178904,-2.62889,3.31235,-2.11687,0.294889,5.85938,-0.00579262,0.0301678,-0.512017,0.997895,-0.0120166,0.000303217
L09.mlp,9,mlp,3,0.479031,1.73129,1.29073,0,0.338013,0.288988,0.978143,0.0117164,0.0199972,0.724266,0.614433,0.0172272,1.22264,0.897053,1.47675,0.00248977,0.0169942,0.00484405,0.287493,0.263925,-3.86731,1.87456,-3.31283,0.18888,5.2218,0.0126314,0.0521226,-0.554482,0.993309,-0.0544819,0.000549793
L10.attn,10,attn,3,0.720165,1.98554,1.93004,0.0718079,0.139465,0.30797,0.629368,0.0101626,0.0194964,0.655841,0.544567,0.0135284,1.37605,0.839549,1.34088,0.00235078,0.0206469,0.0039416,0.192521,0.247331,-0.792431,4.95237,-0.296939,0.264645,3.94852,-0.0020752,0.0778861,-0.495492,0.991434,0.00450823,0.000933371
L10.mlp,10,mlp,1,0.516156,1.78154,1.18854,0,0.14093,0.27392,0.495251,0.00946133,0.0183508,0.674233,0.550854,0.0145094,1.34084,0.811614,1.53742,0.00238416,0.0140575,0.00404662,0.291199,0.324254,-1.39181,2.12905,-0.864197,0.196836,4.23172,0.0221891,0.0640196,-0.527615,0.953551,-0.0276151,0.000410007
L11.attn,11,attn,2,0.473378,1.99638,1.69448,0.065155,0.624908,0.413726,1.35756,0.00912659,0.0162627,0.571819,0.460571,0.00795132,1.13136,0.896859,0.87288,0.00250603,0.0133373,0.00119086,0.089364,0.097123,-3.78595,6.38142,-3.25618,0.318198,5.21502,-0.00418854,0.0270714,-0.529769,0.952414,-0.0297685,0.000160253
L11.mlp,11,mlp,1,0.709522,1.94319,1.83365,0.00119019,0.218536,0.209646,0.510384,0.00847426,0.0163051,0.593471,0.47734,0.0134089,1.26313,0.858643,1.587,0.00247165,0.0112795,0.00337689,0.301062,0.282828,-1.104,3.54342,-0.588098,0.210202,4.11093,-0.000244141,0.0484867,-0.515907,0.971457,-0.0159066,0.00018234
